"Name","train/loss (Min)","train/consumed_tokens","val/loss (Min)","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","context_length","dataset","ecd.F0","ecd.consEn","ecd.eps1","ecd.eps2","ecd.eta","ecd.lr","ecd.nu","ecd.weight_decay","ecd_derived.lr_over_sqrt_eta","ecd_derived.nu_over_sqrt_dim","eq28.F2","eq28.eta_suggested","eq28.hat_dt","eq28.n_steps_target","eq28.theta0_norm","grad_accum","model.context_length","model.n_embd","model.n_head","model.n_layer","model.vocab_size","optimizer","params","tokens_per_update","train_tokens","opt_kind","optimizer.calibrated_lr","optimizer.class","optimizer.defaults.betas","optimizer.defaults.correct_bias","optimizer.defaults.eps","optimizer.defaults.lr","optimizer.defaults.max_precondition_dim","optimizer.defaults.merge_dims","optimizer.defaults.normalize_gradient","optimizer.defaults.precondition_1d","optimizer.defaults.precondition_frequency","optimizer.defaults.weight_decay","optimizer.kind","optimizer.param_groups","optimizer.defaults.F0","optimizer.defaults.consEn","optimizer.defaults.eps1","optimizer.defaults.eps2","optimizer.defaults.eta","optimizer.defaults.nu","speed/tok_per_s","update"
"fw-124m-HPslit-soap","3.271047353744507","1000079360","3.35400652885437","finished","-","","124m, ctx512, finished-for-analysis, soap","2025-10-02T02:07:48.000Z","14956","","8","512","finewebedu10B","","","","","","","","","","","1","5.936604568488284","0.1","7629.39453125","313.1273573263219","32","512","768","12","12","65536","","135817728","131072","1000000000","soap","0.0015","SOAP","[0.95,0.99]","true","1e-8","0.0015","10000","false","false","false","80","0.0001","soap","[{""precondition_frequency"":80,""eps"":1e-8,""betas"":[0.95,0.99],""merge_dims"":false,""correct_bias"":true,""weight_decay"":0.0001,""normalize_gradient"":false,""max_precondition_dim"":10000,""lr"":0.0015,""shampoo_beta"":null,""precondition_1d"":false}]","","","","","","","49667.03462688503","7630"
"124m-ctx512-soap","2.512406349182129","500002816","3.401122808456421","finished","-","","124m, ctx512, finished-for-analysis, soap","2025-09-30T21:29:17.000Z","28279","","8","512","finewebedu10B","","","","","","","","","","","1","1519.7707695330007","0.1","122070.3125","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","500000000","soap","0.0003","SOAP","[0.95,0.95]","true","1e-8","0.0003","10000","false","false","false","10","0.01","soap","[{""correct_bias"":true,""normalize_gradient"":false,""lr"":0.0003,""betas"":[0.95,0.95],""merge_dims"":false,""shampoo_beta"":null,""weight_decay"":0.01,""precondition_1d"":false,""max_precondition_dim"":10000,""precondition_frequency"":10,""eps"":1e-8}]","","","","","","","48661.42995448224","122071"
"124m-ctx512-symmetric-soap","2.491380453109741","500002816","3.4163331985473633","finished","-","","124m, ctx512, finished-for-analysis, soap","2025-10-01T18:53:53.000Z","25235","","8","512","finewebedu10B","","","","","","","","","","","1","1519.7707695330007","0.1","122070.3125","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","500000000","soap","0.0003","SOAP","[0.95,0.95]","true","1e-8","0.0003","10000","false","false","false","10","0.01","soap","[{""eps"":1e-8,""betas"":[0.95,0.95],""merge_dims"":false,""shampoo_beta"":null,""weight_decay"":0.01,""normalize_gradient"":false,""lr"":0.0003,""correct_bias"":true,""precondition_1d"":false,""max_precondition_dim"":10000,""precondition_frequency"":10}]","","","","","","","69416.4175683866","122071"
"124m-ctx512-ecd-1759245593","2.0697262287139893","500002816","3.6339111328125","finished","-","","finished-for-analysis","2025-09-30T15:19:54.000Z","11107","","8","512","finewebedu10B","2","true","1e-10","1e-40","100","0.5","0","0","0.05","0","1","1519.7707695330007","0.1","122070.3125","313.1273573263219","1","512","768","12","12","65536","ecd","135817728","4096","500000000","","","","","","","","","","","","","","","","","","","","","","45152.43447590713","122071"
"fw-124m-ecd-HPscalingseq28","1.9878127574920657","1000001536","3.7242472171783447","finished","-","","124m, ctx512, ecd, finished-for-analysis","2025-10-02T14:38:37.000Z","21748","","8","512","finewebedu10B","2","true","1e-10","1e-40","6079.083078132003","0.5","0","0","0.006412848278043072","0","1","6079.083078132003","0.1","244140.625","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","1000000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""eta"":6079.083078132003,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":2,""lr"":0.5,""nu"":0}]","2","true","1e-10","1e-40","6079.083078132003","0","46513.28856327534","244141"
"fw-124m-ecd-HPscalingseq28-F0-1","2.0743775367736816","1000001536","3.8084654808044434","finished","-","","124m, ctx512, ecd, finished-for-analysis","2025-10-02T20:57:17.000Z","21898","","8","512","finewebedu10B","1","true","1e-10","1e-40","6079.083078132003","0.5","0","0","0.006412848278043072","0","1","6079.083078132003","0.1","244140.625","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","1000000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":1,""lr"":0.5,""nu"":0,""eta"":6079.083078132003}]","1","true","1e-10","1e-40","6079.083078132003","0","47356.03348576689","244141"
"fw-124m-ecd-disorder-stdaround2","3.004392623901367","1000005632","3.862738132476806","finished","-","","124m, ctx1024, ecd, finished-for-analysis","2025-10-07T00:11:32.000Z","24484","","8","1024","finewebedu10B","2","true","1e-10","1e-40","1508.215253689587","0.5","0","0","0.01287473622092507","0","1","1508.215253689587","0.1","122070.3125","314.3246147686785","1","1024","768","12","12","65536","","136210944","8192","1000000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""F0"":2,""lr"":0.5,""nu"":0,""eta"":1508.215253689587,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0}]","2","true","1e-10","1e-40","1508.215253689587","0","40792.80441743371","122071"
"fw-124m-ecd-disorder-zeromean-stdaroundpt9-eq28","3.004392623901367","1000005632","3.862738132476806","finished","-","","124m, ctx1024, ecd, finished-for-analysis","2025-10-06T16:50:15.000Z","24642","","8","1024","finewebedu10B","2","true","1e-10","1e-40","1508.215253689587","0.5","0","0","0.01287473622092507","0","1","1508.215253689587","0.1","122070.3125","314.3246147686785","1","1024","768","12","12","65536","","136210944","8192","1000000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""nu"":0,""eta"":1508.215253689587,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":2,""lr"":0.5}]","2","true","1e-10","1e-40","1508.215253689587","0","40690.00442667039","122071"
"ecd-nobK-eq28","2.2106828689575195","500002816","3.913726329803467","finished","-","","124m, ctx512, ecd, finished-for-analysis","2025-10-25T23:04:55.000Z","13131","","8","512","finewebedu10B","2","true","1e-10","1e-40","1519.7707695330007","0.5","0","0","0.012825696556086143","0","1","1519.7707695330007","0.1","122070.3125","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","500000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""nu"":0,""eta"":1519.7707695330007,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":2,""lr"":0.5}]","2","true","1e-10","1e-40","1519.7707695330007","0","38013.43797212917","122071"
"ecd-mean2","2.2776148319244385","500002816","3.92645263671875","finished","-","","124m, ctx512, ecd, finished-for-analysis","2025-10-11T22:43:11.000Z","11038","","8","512","finewebedu10B","2","true","1e-10","1e-40","1519.7707695330007","0.5","0","0","0.012825696556086143","0","1","1519.7707695330007","0.1","122070.3125","313.1273573263219","1","512","768","12","12","65536","","135817728","4096","500000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""nu"":0,""eta"":1519.7707695330007,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":2,""lr"":0.5}]","2","true","1e-10","1e-40","1519.7707695330007","0","46251.07466994034","122071"
"ecd-multibQ","2.28377628326416","500002816","3.9333462715148926","finished","-","","124m, ctx512, ecd, finished-for-analysis","2025-10-15T02:59:47.000Z","13287","","8","512","finewebedu10B","2","true","1e-10","1e-40","1518.943238125754","0.5","0","0","0.01282918984709479","0","1","1518.943238125754","0.1","122070.3125","313.2126427513376","1","512","768","12","12","65536","","135817728","4096","500000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""eps1"":1e-10,""eps2"":1e-40,""consEn"":true,""weight_decay"":0,""F0"":2,""lr"":0.5,""nu"":0,""eta"":1518.943238125754}]","2","true","1e-10","1e-40","1518.943238125754","0","39397.13482040686","122071"
"fw-124m-ecd-zerobmean-eq28","3.0506627559661865","1000005632","3.972992658615112","finished","-","","124m, ctx1024, ecd, finished-for-analysis","2025-10-05T15:16:24.000Z","24379","","8","1024","finewebedu10B","2","true","1e-10","1e-40","1508.215253689587","0.5","0","0","0.01287473622092507","0","1","1508.215253689587","0.1","122070.3125","314.3246147686785","1","1024","768","12","12","65536","","136210944","8192","1000000000","ecd","","ECD_q1_scaled","","","","0.5","","","","","","0","ecd","[{""weight_decay"":0,""F0"":2,""lr"":0.5,""nu"":0,""eta"":1508.215253689587,""eps1"":1e-10,""eps2"":1e-40,""consEn"":true}]","2","true","1e-10","1e-40","1508.215253689587","0","41503.233397070355","122071"